date,company_id,company_name,channel,impressions,clicks,conversions,cost,revenue_generated,conversion_rate,click_through_rate
2026-01-10,C001,AlphaFlow,Referral,609,37,2,140.93,825.42,0.0541,0.0608
2026-01-11,C001,AlphaFlow,SEO,0,0,0,118.09,0.00,0.0000,0.0000
2026-01-11,C001,AlphaFlow,Paid Search,123,2,0,61.03,0.00,0.0000,0.0163
2026-01-11,C001,AlphaFlow,Content,328,4,0,94.47,0.00,0.0000,0.0122
2026-01-11,C001,AlphaFlow,LinkedIn Ads,364,22,0,67.13,0.00,0.0000,0.0604
2026-01-11,C001,AlphaFlow,Partnerships,250,3,0,56.68,0.00,0.0000,0.0120
2026-01-11,C001,AlphaFlow,Outbound Sales,485,21,0,67.13,0.00,0.0000,0.0433
2026-01-11,C001,AlphaFlow,Referral,464,23,1,84.85,541.10,0.0435,0.0496
2026-01-12,C001,AlphaFlow,SEO,436,1,0,232.24,0.00,0.0000,0.0023
2026-01-12,C001,AlphaFlow,Paid Search,0,0,0,120.02,0.00,0.0000,0.0000
2026-01-12,C001,AlphaFlow,Content,570,20,0,185.79,0.00,0.0000,0.0351
2026-01-12,C001,AlphaFlow,LinkedIn Ads,583,8,0,132.03,0.00,0.0000,0.0137
2026-01-12,C001,AlphaFlow,Partnerships,175,7,0,111.48,0.00,0.0000,0.0400
2026-01-12,C001,AlphaFlow,Outbound Sales,489,21,0,132.03,0.00,0.0000,0.0429
2026-01-12,C001,AlphaFlow,Referral,796,55,2,166.83,825.61,0.0364,0.0691
2026-01-13,C001,AlphaFlow,SEO,329,2,0,233.23,0.00,0.0000,0.0061
2026-01-13,C001,AlphaFlow,Paid Search,602,20,0,120.53,0.00,0.0000,0.0332
2026-01-13,C001,AlphaFlow,Content,400,7,0,186.58,0.00,0.0000,0.0175
2026-01-13,C001,AlphaFlow,LinkedIn Ads,441,23,0,132.59,0.00,0.0000,0.0522
2026-01-13,C001,AlphaFlow,Partnerships,300,23,0,111.95,0.00,0.0000,0.0767
2026-01-13,C001,AlphaFlow,Outbound Sales,307,6,0,132.59,0.00,0.0000,0.0195
2026-01-13,C001,AlphaFlow,Referral,665,64,2,167.54,955.27,0.0312,0.0962
2026-01-14,C001,AlphaFlow,SEO,134,8,0,205.67,0.00,0.0000,0.0597
2026-01-14,C001,AlphaFlow,Paid Search,606,24,0,106.29,0.00,0.0000,0.0396
2026-01-14,C001,AlphaFlow,Content,278,10,0,164.53,0.00,0.0000,0.0360
2026-01-14,C001,AlphaFlow,LinkedIn Ads,492,2,0,116.92,0.00,0.0000,0.0041
2026-01-14,C001,AlphaFlow,Partnerships,416,25,0,98.72,0.00,0.0000,0.0601
2026-01-14,C001,AlphaFlow,Outbound Sales,330,19,0,116.92,0.00,0.0000,0.0576
2026-01-14,C001,AlphaFlow,Referral,728,94,2,147.75,1094.48,0.0213,0.1291
2026-01-15,C001,AlphaFlow,SEO,534,30,1,341.85,423.70,0.0333,0.0562
2026-01-15,C001,AlphaFlow,Paid Search,87,5,0,176.67,0.00,0.0000,0.0575
2026-01-15,C001,AlphaFlow,Content,390,14,1,273.48,515.46,0.0714,0.0359
2026-01-15,C001,AlphaFlow,LinkedIn Ads,290,8,0,194.34,0.00,0.0000,0.0276
2026-01-15,C001,AlphaFlow,Partnerships,157,4,0,164.09,0.00,0.0000,0.0255
2026-01-15,C001,AlphaFlow,Outbound Sales,538,9,0,194.34,0.00,0.0000,0.0167
2026-01-15,C001,AlphaFlow,Referral,456,49,1,245.57,472.62,0.0204,0.1075
2026-01-16,C001,AlphaFlow,SEO,122,21,0,108.78,0.00,0.0000,0.1721
2026-01-16,C001,AlphaFlow,Paid Search,283,24,0,56.22,0.00,0.0000,0.0848
2026-01-16,C001,AlphaFlow,Content,544,18,0,87.03,0.00,0.0000,0.0331
2026-01-16,C001,AlphaFlow,LinkedIn Ads,418,10,0,61.84,0.00,0.0000,0.0239
2026-01-16,C001,AlphaFlow,Partnerships,499,9,0,52.22,0.00,0.0000,0.0180
2026-01-16,C001,AlphaFlow,Outbound Sales,208,10,0,61.84,0.00,0.0000,0.0481
2026-01-16,C001,AlphaFlow,Referral,371,33,1,78.15,505.23,0.0303,0.0889
2026-01-17,C001,AlphaFlow,SEO,359,6,0,106.74,0.00,0.0000,0.0167
2026-01-17,C001,AlphaFlow,Paid Search,112,3,0,55.16,0.00,0.0000,0.0268
2026-01-17,C001,AlphaFlow,Content,111,17,0,85.39,0.00,0.0000,0.1532
2026-01-17,C001,AlphaFlow,LinkedIn Ads,214,14,0,60.68,0.00,0.0000,0.0654
2026-01-17,C001,AlphaFlow,Partnerships,381,22,0,51.23,0.00,0.0000,0.0577
2026-01-17,C001,AlphaFlow,Outbound Sales,476,4,0,60.68,0.00,0.0000,0.0084
2026-01-17,C001,AlphaFlow,Referral,429,48,1,76.69,548.04,0.0208,0.1119
2026-01-18,C001,AlphaFlow,SEO,590,9,0,123.39,0.00,0.0000,0.0153
2026-01-18,C001,AlphaFlow,Paid Search,490,24,0,63.77,0.00,0.0000,0.0490
2026-01-18,C001,AlphaFlow,Content,490,18,0,98.71,0.00,0.0000,0.0367
2026-01-18,C001,AlphaFlow,LinkedIn Ads,492,22,0,70.15,0.00,0.0000,0.0447
2026-01-18,C001,AlphaFlow,Partnerships,132,15,0,59.23,0.00,0.0000,0.1136
2026-01-18,C001,AlphaFlow,Outbound Sales,196,14,0,70.15,0.00,0.0000,0.0714
2026-01-18,C001,AlphaFlow,Referral,387,42,1,88.64,549.48,0.0238,0.1085
2026-01-19,C001,AlphaFlow,SEO,479,10,0,207.85,0.00,0.0000,0.0209
2026-01-19,C001,AlphaFlow,Paid Search,133,17,0,107.42,0.00,0.0000,0.1278
2026-01-19,C001,AlphaFlow,Content,179,7,0,166.28,0.00,0.0000,0.0391
2026-01-19,C001,AlphaFlow,LinkedIn Ads,264,14,0,118.16,0.00,0.0000,0.0530
2026-01-19,C001,AlphaFlow,Partnerships,456,9,0,99.77,0.00,0.0000,0.0197
2026-01-19,C001,AlphaFlow,Outbound Sales,289,25,0,118.16,0.00,0.0000,0.0865
2026-01-19,C001,AlphaFlow,Referral,547,69,2,149.32,1021.03,0.0290,0.1261
2026-01-20,C001,AlphaFlow,SEO,388,14,0,114.77,0.00,0.0000,0.0361
2026-01-20,C001,AlphaFlow,Paid Search,404,18,0,59.32,0.00,0.0000,0.0446
2026-01-20,C001,AlphaFlow,Content,479,6,0,91.82,0.00,0.0000,0.0125
2026-01-20,C001,AlphaFlow,LinkedIn Ads,391,9,0,65.25,0.00,0.0000,0.0230
2026-01-20,C001,AlphaFlow,Partnerships,151,21,0,55.09,0.00,0.0000,0.1391
2026-01-20,C001,AlphaFlow,Outbound Sales,339,24,0,65.25,0.00,0.0000,0.0708
2026-01-20,C001,AlphaFlow,Referral,355,36,1,82.44,420.79,0.0278,0.1014
2026-01-21,C001,AlphaFlow,SEO,556,25,0,200.39,0.00,0.0000,0.0450
2026-01-21,C001,AlphaFlow,Paid Search,515,10,0,103.56,0.00,0.0000,0.0194
2026-01-21,C001,AlphaFlow,Content,609,16,0,160.31,0.00,0.0000,0.0263
2026-01-21,C001,AlphaFlow,LinkedIn Ads,397,15,0,113.92,0.00,0.0000,0.0378
2026-01-21,C001,AlphaFlow,Partnerships,315,4,0,96.19,0.00,0.0000,0.0127
2026-01-21,C001,AlphaFlow,Outbound Sales,479,25,0,113.92,0.00,0.0000,0.0522
2026-01-21,C001,AlphaFlow,Referral,736,46,2,143.96,926.29,0.0435,0.0625
2026-01-22,C001,AlphaFlow,SEO,0,0,0,120.14,0.00,0.0000,0.0000
2026-01-22,C001,AlphaFlow,Paid Search,164,20,0,62.09,0.00,0.0000,0.1220
2026-01-22,C001,AlphaFlow,Content,226,3,0,96.11,0.00,0.0000,0.0133
2026-01-22,C001,AlphaFlow,LinkedIn Ads,225,7,0,68.30,0.00,0.0000,0.0311
2026-01-22,C001,AlphaFlow,Partnerships,526,17,0,57.67,0.00,0.0000,0.0323
2026-01-22,C001,AlphaFlow,Outbound Sales,512,15,0,68.30,0.00,0.0000,0.0293
2026-01-22,C001,AlphaFlow,Referral,333,35,1,86.30,460.78,0.0286,0.1051
2026-01-23,C001,AlphaFlow,SEO,543,39,1,580.81,426.03,0.0256,0.0718
2026-01-23,C001,AlphaFlow,Paid Search,855,103,1,300.17,506.29,0.0097,0.1205
2026-01-23,C001,AlphaFlow,Content,429,26,1,464.65,437.99,0.0385,0.0606
2026-01-23,C001,AlphaFlow,LinkedIn Ads,777,43,1,330.18,483.77,0.0233,0.0553
2026-01-23,C001,AlphaFlow,Partnerships,790,46,1,278.79,399.41,0.0217,0.0582
2026-01-23,C001,AlphaFlow,Outbound Sales,217,4,0,330.18,0.00,0.0000,0.0184
2026-01-23,C001,AlphaFlow,Referral,0,0,0,417.24,0.00,0.0000,0.0000
2026-01-24,C001,AlphaFlow,SEO,148,3,0,96.68,0.00,0.0000,0.0203
2026-01-24,C001,AlphaFlow,Paid Search,322,16,0,49.96,0.00,0.0000,0.0497
2026-01-24,C001,AlphaFlow,Content,404,16,0,77.34,0.00,0.0000,0.0396
2026-01-24,C001,AlphaFlow,LinkedIn Ads,528,12,0,54.96,0.00,0.0000,0.0227
2026-01-24,C001,AlphaFlow,Partnerships,411,2,0,46.40,0.00,0.0000,0.0049
2026-01-24,C001,AlphaFlow,Outbound Sales,429,17,0,54.96,0.00,0.0000,0.0396
2026-01-24,C001,AlphaFlow,Referral,429,28,1,69.45,494.40,0.0357,0.0653
2026-01-25,C001,AlphaFlow,SEO,466,26,1,460.60,553.03,0.0385,0.0558
2026-01-25,C001,AlphaFlow,Paid Search,200,23,0,238.04,0.00,0.0000,0.1150
2026-01-25,C001,AlphaFlow,Content,326,44,1,368.48,560.27,0.0227,0.1350
2026-01-25,C001,AlphaFlow,LinkedIn Ads,464,3,0,261.85,0.00,0.0000,0.0065
2026-01-25,C001,AlphaFlow,Partnerships,215,10,0,221.09,0.00,0.0000,0.0465
2026-01-25,C001,AlphaFlow,Outbound Sales,155,23,0,261.85,0.00,0.0000,0.1484
2026-01-25,C001,AlphaFlow,Referral,860,61,2,330.89,948.13,0.0328,0.0709
2026-01-26,C001,AlphaFlow,SEO,284,18,1,319.20,536.26,0.0556,0.0634
2026-01-26,C001,AlphaFlow,Paid Search,125,19,0,164.97,0.00,0.0000,0.1520
2026-01-26,C001,AlphaFlow,Content,458,17,1,255.36,514.57,0.0588,0.0371
2026-01-26,C001,AlphaFlow,LinkedIn Ads,494,4,0,181.46,0.00,0.0000,0.0081
2026-01-26,C001,AlphaFlow,Partnerships,316,16,0,153.22,0.00,0.0000,0.0506
2026-01-26,C001,AlphaFlow,Outbound Sales,176,10,0,181.46,0.00,0.0000,0.0568
2026-01-26,C001,AlphaFlow,Referral,296,33,1,229.31,508.61,0.0303,0.1115
2026-01-27,C001,AlphaFlow,SEO,206,13,0,109.07,0.00,0.0000,0.0631
2026-01-27,C001,AlphaFlow,Paid Search,306,1,0,56.37,0.00,0.0000,0.0033
2026-01-27,C001,AlphaFlow,Content,226,6,0,87.26,0.00,0.0000,0.0265
2026-01-27,C001,AlphaFlow,LinkedIn Ads,272,13,0,62.01,0.00,0.0000,0.0478
2026-01-27,C001,AlphaFlow,Partnerships,463,21,0,52.36,0.00,0.0000,0.0454
2026-01-27,C001,AlphaFlow,Outbound Sales,402,2,0,62.01,0.00,0.0000,0.0050
2026-01-27,C001,AlphaFlow,Referral,422,46,1,78.35,428.86,0.0217,0.1090
2026-01-28,C001,AlphaFlow,SEO,201,13,0,123.78,0.00,0.0000,0.0647
2026-01-28,C001,AlphaFlow,Paid Search,436,9,0,63.97,0.00,0.0000,0.0206
2026-01-28,C001,AlphaFlow,Content,294,16,0,99.02,0.00,0.0000,0.0544
2026-01-28,C001,AlphaFlow,LinkedIn Ads,325,4,0,70.37,0.00,0.0000,0.0123
2026-01-28,C001,AlphaFlow,Partnerships,181,24,0,59.41,0.00,0.0000,0.1326
2026-01-28,C001,AlphaFlow,Outbound Sales,563,24,0,70.37,0.00,0.0000,0.0426
2026-01-28,C001,AlphaFlow,Referral,514,52,1,88.93,435.85,0.0192,0.1012
2026-01-29,C001,AlphaFlow,SEO,488,47,1,329.57,474.05,0.0213,0.0963
2026-01-29,C001,AlphaFlow,Paid Search,167,9,0,170.32,0.00,0.0000,0.0539
2026-01-29,C001,AlphaFlow,Content,277,26,1,263.65,464.79,0.0385,0.0939
2026-01-29,C001,AlphaFlow,LinkedIn Ads,286,14,0,187.36,0.00,0.0000,0.0490
2026-01-29,C001,AlphaFlow,Partnerships,434,3,0,158.19,0.00,0.0000,0.0069
2026-01-29,C001,AlphaFlow,Outbound Sales,550,22,0,187.36,0.00,0.0000,0.0400
2026-01-29,C001,AlphaFlow,Referral,407,40,1,236.76,446.15,0.0250,0.0983
2026-01-30,C001,AlphaFlow,SEO,478,3,0,113.61,0.00,0.0000,0.0063
2026-01-30,C001,AlphaFlow,Paid Search,425,4,0,58.71,0.00,0.0000,0.0094
2026-01-30,C001,AlphaFlow,Content,501,20,0,90.89,0.00,0.0000,0.0399
2026-01-30,C001,AlphaFlow,LinkedIn Ads,436,20,0,64.58,0.00,0.0000,0.0459
2026-01-30,C001,AlphaFlow,Partnerships,196,21,0,54.53,0.00,0.0000,0.1071
2026-01-30,C001,AlphaFlow,Outbound Sales,304,5,0,64.58,0.00,0.0000,0.0164
2026-01-30,C001,AlphaFlow,Referral,479,26,1,81.62,400.94,0.0385,0.0543
2026-01-31,C001,AlphaFlow,SEO,238,24,0,111.92,0.00,0.0000,0.1008
2026-01-31,C001,AlphaFlow,Paid Search,268,19,0,57.84,0.00,0.0000,0.0709
2026-01-31,C001,AlphaFlow,Content,385,14,0,89.53,0.00,0.0000,0.0364
2026-01-31,C001,AlphaFlow,LinkedIn Ads,585,25,0,63.62,0.00,0.0000,0.0427
2026-01-31,C001,AlphaFlow,Partnerships,566,14,0,53.72,0.00,0.0000,0.0247
2026-01-31,C001,AlphaFlow,Outbound Sales,289,5,0,63.62,0.00,0.0000,0.0173
2026-01-31,C001,AlphaFlow,Referral,291,21,1,80.41,468.50,0.0476,0.0722
2026-02-01,C001,AlphaFlow,SEO,244,14,0,111.22,0.00,0.0000,0.0574
2026-02-01,C001,AlphaFlow,Paid Search,118,11,0,57.48,0.00,0.0000,0.0932
2026-02-01,C001,AlphaFlow,Content,465,2,0,88.98,0.00,0.0000,0.0043
2026-02-01,C001,AlphaFlow,LinkedIn Ads,239,10,0,63.23,0.00,0.0000,0.0418
2026-02-01,C001,AlphaFlow,Partnerships,564,4,0,53.39,0.00,0.0000,0.0071
2026-02-01,C001,AlphaFlow,Outbound Sales,517,4,0,63.23,0.00,0.0000,0.0077
2026-02-01,C001,AlphaFlow,Referral,336,22,1,79.90,418.26,0.0455,0.0655
2026-02-02,C001,AlphaFlow,SEO,345,18,0,120.55,0.00,0.0000,0.0522
2026-02-02,C001,AlphaFlow,Paid Search,524,18,0,62.30,0.00,0.0000,0.0344
2026-02-02,C001,AlphaFlow,Content,615,16,0,96.44,0.00,0.0000,0.0260
2026-02-02,C001,AlphaFlow,LinkedIn Ads,477,1,0,68.53,0.00,0.0000,0.0021
2026-02-02,C001,AlphaFlow,Partnerships,337,11,0,57.87,0.00,0.0000,0.0326
2026-02-02,C001,AlphaFlow,Outbound Sales,226,10,0,68.53,0.00,0.0000,0.0442
2026-02-02,C001,AlphaFlow,Referral,413,49,1,86.62,541.06,0.0204,0.1186
2026-02-03,C001,AlphaFlow,SEO,381,1,0,101.52,0.00,0.0000,0.0026
2026-02-03,C001,AlphaFlow,Paid Search,496,9,0,52.47,0.00,0.0000,0.0181
2026-02-03,C001,AlphaFlow,Content,378,6,0,81.21,0.00,0.0000,0.0159
2026-02-03,C001,AlphaFlow,LinkedIn Ads,459,3,0,57.71,0.00,0.0000,0.0065
2026-02-03,C001,AlphaFlow,Partnerships,281,10,0,48.73,0.00,0.0000,0.0356
2026-02-03,C001,AlphaFlow,Outbound Sales,189,25,0,57.71,0.00,0.0000,0.1323
2026-02-03,C001,AlphaFlow,Referral,273,26,1,72.93,481.96,0.0385,0.0952
2026-02-04,C001,AlphaFlow,SEO,548,11,0,210.26,0.00,0.0000,0.0201
2026-02-04,C001,AlphaFlow,Paid Search,146,8,0,108.67,0.00,0.0000,0.0548
2026-02-04,C001,AlphaFlow,Content,264,21,0,168.21,0.00,0.0000,0.0795
2026-02-04,C001,AlphaFlow,LinkedIn Ads,210,1,0,119.53,0.00,0.0000,0.0048
2026-02-04,C001,AlphaFlow,Partnerships,131,18,0,100.93,0.00,0.0000,0.1374
2026-02-04,C001,AlphaFlow,Outbound Sales,182,24,0,119.53,0.00,0.0000,0.1319
2026-02-04,C001,AlphaFlow,Referral,817,62,2,151.05,853.23,0.0323,0.0759
2026-02-05,C001,AlphaFlow,SEO,285,33,1,222.55,461.38,0.0303,0.1158
2026-02-05,C001,AlphaFlow,Paid Search,299,15,0,115.02,0.00,0.0000,0.0502
2026-02-05,C001,AlphaFlow,Content,183,14,0,178.04,0.00,0.0000,0.0765
2026-02-05,C001,AlphaFlow,LinkedIn Ads,168,22,0,126.52,0.00,0.0000,0.1310
2026-02-05,C001,AlphaFlow,Partnerships,280,22,0,106.83,0.00,0.0000,0.0786
2026-02-05,C001,AlphaFlow,Outbound Sales,326,4,0,126.52,0.00,0.0000,0.0123
2026-02-05,C001,AlphaFlow,Referral,257,23,1,159.88,465.76,0.0435,0.0895
2026-02-06,C001,AlphaFlow,SEO,465,39,1,294.39,528.36,0.0256,0.0839
2026-02-06,C001,AlphaFlow,Paid Search,175,20,0,152.14,0.00,0.0000,0.1143
2026-02-06,C001,AlphaFlow,Content,353,44,1,235.51,483.17,0.0227,0.1246
2026-02-06,C001,AlphaFlow,LinkedIn Ads,152,16,0,167.36,0.00,0.0000,0.1053
2026-02-06,C001,AlphaFlow,Partnerships,332,22,0,141.31,0.00,0.0000,0.0663
2026-02-06,C001,AlphaFlow,Outbound Sales,289,8,0,167.36,0.00,0.0000,0.0277
2026-02-06,C001,AlphaFlow,Referral,415,19,1,211.47,496.26,0.0526,0.0458
2026-02-07,C001,AlphaFlow,SEO,437,56,1,339.32,543.58,0.0179,0.1281
2026-02-07,C001,AlphaFlow,Paid Search,352,1,0,175.36,0.00,0.0000,0.0028
2026-02-07,C001,AlphaFlow,Content,374,38,1,271.46,553.22,0.0263,0.1016
2026-02-07,C001,AlphaFlow,LinkedIn Ads,502,7,0,192.90,0.00,0.0000,0.0139
2026-02-07,C001,AlphaFlow,Partnerships,570,15,0,162.87,0.00,0.0000,0.0263
2026-02-07,C001,AlphaFlow,Outbound Sales,456,23,0,192.90,0.00,0.0000,0.0504
2026-02-07,C001,AlphaFlow,Referral,289,21,1,243.76,390.83,0.0476,0.0727
2026-02-08,C001,AlphaFlow,SEO,347,13,0,200.63,0.00,0.0000,0.0375
2026-02-08,C001,AlphaFlow,Paid Search,423,23,0,103.69,0.00,0.0000,0.0544
2026-02-08,C001,AlphaFlow,Content,598,9,0,160.50,0.00,0.0000,0.0151
2026-02-08,C001,AlphaFlow,LinkedIn Ads,447,6,0,114.06,0.00,0.0000,0.0134
2026-02-08,C001,AlphaFlow,Partnerships,582,21,0,96.30,0.00,0.0000,0.0361
2026-02-08,C001,AlphaFlow,Outbound Sales,462,8,0,114.06,0.00,0.0000,0.0173
2026-02-08,C001,AlphaFlow,Referral,719,55,2,144.12,970.70,0.0364,0.0765
2026-02-09,C001,AlphaFlow,SEO,220,19,0,109.32,0.00,0.0000,0.0864
2026-02-09,C001,AlphaFlow,Paid Search,471,17,0,56.50,0.00,0.0000,0.0361
2026-02-09,C001,AlphaFlow,Content,120,1,0,87.45,0.00,0.0000,0.0083
2026-02-09,C001,AlphaFlow,LinkedIn Ads,242,19,0,62.15,0.00,0.0000,0.0785
2026-02-09,C001,AlphaFlow,Partnerships,409,23,0,52.47,0.00,0.0000,0.0562
2026-02-09,C001,AlphaFlow,Outbound Sales,404,18,0,62.15,0.00,0.0000,0.0446
2026-02-09,C001,AlphaFlow,Referral,254,17,1,78.52,572.08,0.0588,0.0669
2026-02-10,C001,AlphaFlow,SEO,338,25,0,116.23,0.00,0.0000,0.0740
2026-02-10,C001,AlphaFlow,Paid Search,488,19,0,60.07,0.00,0.0000,0.0389
2026-02-10,C001,AlphaFlow,Content,278,3,0,92.98,0.00,0.0000,0.0108
2026-02-10,C001,AlphaFlow,LinkedIn Ads,606,13,0,66.08,0.00,0.0000,0.0215
2026-02-10,C001,AlphaFlow,Partnerships,222,1,0,55.79,0.00,0.0000,0.0045
2026-02-10,C001,AlphaFlow,Outbound Sales,413,12,0,66.08,0.00,0.0000,0.0291
2026-02-10,C001,AlphaFlow,Referral,387,35,1,83.49,442.30,0.0286,0.0904
2026-02-11,C001,AlphaFlow,SEO,402,17,0,232.77,0.00,0.0000,0.0423
2026-02-11,C001,AlphaFlow,Paid Search,586,6,0,120.30,0.00,0.0000,0.0102
2026-02-11,C001,AlphaFlow,Content,382,8,0,186.21,0.00,0.0000,0.0209
